common,bioconda,biotools
BIOCONDUCTOR-TRANSVIEW,bioconductor-transview,transview
BIOCONDUCTOR-ALPINE,bioconductor-alpine,alpine
EXONERATE,exonerate,exonerate
CNVKIT,cnvkit,cnvkit
BIOCONDUCTOR-BEADARRAYSNP,bioconductor-beadarraysnp,beadarraysnp
BIOCONDUCTOR-RPX,bioconductor-rpx,rpx
BIOCONDUCTOR-BIOCGENERICS,bioconductor-biocgenerics,biocgenerics
BIOCONDUCTOR-GEOQUERY,bioconductor-geoquery,geoquery
BIOCONDUCTOR-RIBOSEQR,bioconductor-riboseqr,riboseqr
BIOCONDUCTOR-CONSENSUSCLUSTERPLUS,bioconductor-consensusclusterplus,consensusclusterplus
BEDTOOLS,bedtools,bedtools
BIOCONDUCTOR-SNPEDIAR,bioconductor-snpediar,snpediar
BIOCONDUCTOR-SPIKELI,bioconductor-spikeli,spikeli
GPSEQ,r-gpseq,gpseq
BIOCONDUCTOR-ANTIPROFILES,bioconductor-antiprofiles,antiprofiles
BIOCONDUCTOR-IRANGES,bioconductor-iranges,iranges
BIOPERL,perl-bioperl,bioperl
BIOCONDUCTOR-EDASEQ,bioconductor-edaseq,edaseq
RNASNP,rnasnp,rnasnp
LIFTOVER,ucsc-liftover,liftover
BIOCONDUCTOR-DNACOPY,bioconductor-dnacopy,dnacopy
BIOCONDUCTOR-CHIPSEQ,bioconductor-chipseq,chipseq
YARA,yara,yara
BIOCONDUCTOR-LPSYMPHONY,bioconductor-lpsymphony,lpsymphony
BIOCONDUCTOR-KEGGGRAPH,bioconductor-kegggraph,kegggraph
BIOCONDUCTOR-CAND,bioconductor-cand,cand
VCFLIB,vcflib,vcflib
GENESPLICER,genesplicer,GeneSplicer
SNOSCAN,snoscan,snoscan
BIOCONDUCTOR-MACAT,bioconductor-macat,macat
BIOCONDUCTOR-TOPGO,bioconductor-topgo,topgo
GGPLOT2,r-ggplot2,ggplot2
TRANSLATORX,translatorx,translatorx
BEDOPS,bedops,Bedops
BIOCONDUCTOR-TWILIGHT,bioconductor-twilight,twilight
RANDFOLD,randfold,randfold
PINDEL,pindel,pindel
BIOCONDUCTOR-TIMECOURSE,bioconductor-timecourse,timecourse
VSEARCH,vsearch,vsearch
MRBAYES,mrbayes,mrbayes
BIOCONDUCTOR-EXOMECOPY,bioconductor-exomecopy,exomecopy
BIOCONDUCTOR-DOPPELGANGR,bioconductor-doppelgangr,doppelgangr
BIOCONDUCTOR-M3DROP,bioconductor-m3drop,m3drop
BIOCONDUCTOR-MOPS,bioconductor-mops,mops
BIOCONDUCTOR-MASSARRAY,bioconductor-massarray,massarray
BIOCONDUCTOR-PCAN,bioconductor-pcan,pcan
PRIMER3,primer3,primer3
TOPHAT,tophat,tophat
ABYSS,abyss,abyss
PYFAIDX,pyfaidx,pyfaidx
MANTA,manta,manta
BIOCONDUCTOR-MMNET,bioconductor-mmnet,mmnet
BIOCONDUCTOR-BHC,bioconductor-bhc,bhc
BISMARK,bismark,bismark
BIOCONDUCTOR-SSPA,bioconductor-sspa,sspa
BIOCONDUCTOR-GGCYTO,bioconductor-ggcyto,ggcyto
BIOCONDUCTOR-RAMIGO,bioconductor-ramigo,ramigo
KALLISTO,kallisto,kallisto
BIOCONDUCTOR-CHICAGO,bioconductor-chicago,chicago
BIOCONDUCTOR-ANNOTATIONDBI,bioconductor-annotationdbi,annotationdbi
PAML,paml,paml
PASTA,pasta,pasta
KRONA,krona,krona
BIOCONDUCTOR-GAGA,bioconductor-gaga,gaga
BIOCONDUCTOR-PROTGENERICS,bioconductor-protgenerics,protgenerics
BIOCONDUCTOR-AGDEX,bioconductor-agdex,agdex
BIOCONDUCTOR-MASIGPRO,bioconductor-masigpro,masigpro
QIIME,qiime,qiime
SEQPREP,seqprep,seqprep
KHMER,khmer,khmer
BIOCONDUCTOR-GENEFILTER,bioconductor-genefilter,genefilter
BIOCONDUCTOR-RNASEQCOMP,bioconductor-rnaseqcomp,rnaseqcomp
DISCOVAR,discovar,discovar
BIOCONDUCTOR-MZR,bioconductor-mzr,mzr
BIOCONDUCTOR-DUPRADAR,bioconductor-dupradar,dupradar
BIOCONDUCTOR-QRQC,bioconductor-qrqc,qrqc
BIOCONDUCTOR-RBGL,bioconductor-rbgl,rbgl
PEAKZILLA,peakzilla,peakzilla
BIOCONDUCTOR-ATLASRDF,bioconductor-atlasrdf,atlasrdf
RAPSEARCH,rapsearch,rapsearch
EIGENSOFT,eigensoft,Eigensoft
BIOCONDUCTOR-DNASHAPER,bioconductor-dnashaper,dnashaper
SGA,sga,sga
BIOCONDUCTOR-SSCU,bioconductor-sscu,sscu
BIOCONDUCTOR-PVAC,bioconductor-pvac,pvac
BIOCONDUCTOR-FASTSEG,bioconductor-fastseg,fastseg
EFFECTIVET3,effectivet3,effectivet3
BIOCONDUCTOR-PURECN,bioconductor-purecn,purecn
RNAZ,rnaz,rnaz
SWALIGN,swalign,swalign
BIOCONDUCTOR-RSUBREAD,bioconductor-rsubread,rsubread
MAGIC,python-magic,magic
MAFFT,mafft,mafft
KAT,kat,KAT
EXOMEDEPTH,r-exomedepth,exomedepth
PIPMIR,pipmir,pipmir
GLIMMER,glimmer,glimmer
BIOCONDUCTOR-NETPATHMINER,bioconductor-netpathminer,netpathminer
JELLYFISH,jellyfish,jellyfish
SEQBUSTER,seqbuster,seqbuster
BIOCONDUCTOR-SAVR,bioconductor-savr,savr
BIOCONDUCTOR-NEM,bioconductor-nem,nem
BIOCONDUCTOR-METHYLPIPE,bioconductor-methylpipe,methylpipe
STACKS,stacks,Stacks
BIOCONDUCTOR-AFFY,bioconductor-affy,affy
BARRNAP,barrnap,barrnap
AUGUSTUS,augustus,augustus
PHEATMAP,r-pheatmap,pheatmap
MOSAIK,mosaik,mosaik
BIOCONDUCTOR-ROAR,bioconductor-roar,roar
BIOCONDUCTOR-CN.MOPS,bioconductor-cn.mops,cn.mops
RSEM,rsem,rsem
BIOCONDUCTOR-MINFI,bioconductor-minfi,minfi
BIOCONDUCTOR-NCDFFLOW,bioconductor-ncdfflow,ncdfflow
CENTRIFUGE,centrifuge,Centrifuge
BIOCONDUCTOR-SAGX,bioconductor-sagx,sagx
BIOCONDUCTOR-NOISEQ,bioconductor-noiseq,noiseq
BIOCONDUCTOR-METHPED,bioconductor-methped,methped
BIOCONDUCTOR-VARIANTTOOLS,bioconductor-varianttools,varianttools
YASS,yass,yass
PYSAM,pysam,pysam
MIXOMICS,r-mixomics,mixomics
BIOCONDUCTOR-PIANO,bioconductor-piano,piano
NOVOALIGN,novoalign,Novoalign
MULTIQC,multiqc,multiqc
BIOCONDUCTOR-GGBIO,bioconductor-ggbio,ggbio
BIOCONDUCTOR-MOSAICS,bioconductor-mosaics,mosaics
BIOCONDUCTOR-MOTIV,bioconductor-motiv,motiv
REPEATMASKER,repeatmasker,RepeatMasker
SARTOOLS,r-sartools,sartools
PYBEDTOOLS,pybedtools,pybedtools
BIOCONDUCTOR-TWEEDESEQ,bioconductor-tweedeseq,tweedeseq
GFFREAD,gffread,gffread
BIOCONDUCTOR-BCRANK,bioconductor-bcrank,bcrank
BIOCONDUCTOR-CALIB,bioconductor-calib,calib
MAKER,maker,maker
IMAGE,perl-image-info,image
SWARM,swarm,swarm
BIOCONDUCTOR-RECOUP,bioconductor-recoup,recoup
INTARNA,intarna,intarna
RNASTRUCTURE,rnastructure,rnastructure
